source_row,work_order_id,equipment_id,maintenance_date,maintenance_type,cost_eur,downtime_hours,failure_flag
W0360,WO-00360,EQ-0091,2025-12-27,Corrective,844.02,22.28,1
W0361,WO-00361,EQ-0074,2025-09-06,Planned,637.32,0.90,0
W0362,WO-00362,EQ-0101,2025-03-25,Planned,570.64,1.66,0
W0363,WO-00363,EQ-0080,2025-08-31,Planned,372.94,1.95,0
W0364,WO-00364,EQ-0162,2025-03-27,Planned,349.62,0.78,0
W0365,WO-00365,EQ-0121,2025-02-18,Planned,216.05,1.95,0
W0366,WO-00366,EQ-0156,2025-07-02,Corrective,1397.61,10.03,1
W0367,WO-00367,EQ-0117,2025-08-25,Planned,203.22,2.80,0
W0368,WO-00368,EQ-0032,2025-01-28,Planned,581.26,0.66,0
W0369,WO-00369,EQ-0060,2025-09-15,Corrective,3315.54,14.09,1
W0370,WO-00370,EQ-0176,2025-04-22,Corrective,1945.23,23.74,1
W0371,WO-00371,EQ-0016,2025-06-05,Planned,386.59,3.19,0
W0372,WO-00372,EQ-0075,2025-11-29,Planned,317.32,0.66,0
W0373,WO-00373,EQ-0022,2025-10-13,Planned,642.41,1.45,0
W0374,WO-00374,EQ-0030,2025-08-12,Corrective,2061.37,10.31,1
W0375,WO-00375,EQ-0012,2025-10-03,Planned,244.08,3.33,0
W0376,WO-00376,EQ-0030,2025-07-13,Planned,704.67,2.39,0
W0377,WO-00377,EQ-0038,2025-03-11,Planned,430.14,2.93,0
W0378,WO-00378,EQ-0048,2025-04-15,Planned,733.78,3.83,0
W0379,WO-00379,EQ-0016,2025-10-21,Corrective,1570.07,5.49,1
W0380,WO-00380,EQ-0075,2025-08-23,Planned,188.78,1.48,0
W0381,WO-00381,EQ-0167,2025-11-18,Corrective,1864.79,22.24,1
W0382,WO-00382,EQ-0079,2025-09-01,Planned,274.48,1.51,0
W0383,WO-00383,EQ-0053,2025-04-03,Planned,177.19,3.52,0
W0384,WO-00384,EQ-0006,2025-06-28,Corrective,2953.11,9.69,1
W0385,WO-00385,EQ-0030,2025-07-10,Corrective,1868.16,21.92,1
W0386,WO-00386,EQ-0073,2025-08-23,Planned,109.07,3.88,0
W0387,WO-00387,EQ-0065,2025-07-11,Planned,358.63,2.20,0
W0388,WO-00388,EQ-0172,2025-10-16,Planned,740.94,1.62,0
W0389,WO-00389,EQ-0074,2025-05-14,Corrective,2461.71,10.95,1
W0390,WO-00390,EQ-0102,2025-06-06,Planned,735.47,1.55,0
W0391,WO-00391,EQ-0173,2025-03-16,Planned,418.38,3.03,0
W0392,WO-00392,EQ-0083,2025-11-29,Planned,178.77,1.67,0
W0393,WO-00393,EQ-0055,2025-10-14,Planned,621.23,3.72,0
W0394,WO-00394,EQ-0067,2025-05-06,Corrective,1403.96,6.83,1
W0395,WO-00395,EQ-0114,2025-06-09,Planned,686.27,3.77,0
W0396,WO-00396,EQ-0016,2025-07-21,Planned,628.38,0.92,0
W0397,WO-00397,EQ-0105,2025-11-28,Corrective,2490.00,6.52,1
W0398,WO-00398,EQ-0128,2025-08-14,Planned,516.37,2.81,0
W0399,WO-00399,EQ-0014,2025-05-27,Corrective,2013.74,23.51,1
W0400,WO-00400,EQ-0114,2025-09-12,Planned,286.54,1.48,0
W0401,WO-00401,EQ-0026,2025-08-03,Planned,218.75,3.69,0
W0402,WO-00402,EQ-0021,2025-04-15,Corrective,1933.81,18.14,1
W0403,WO-00403,EQ-0134,2025-08-10,Planned,400.49,3.21,0
W0404,WO-00404,EQ-0166,2025-02-09,Planned,651.95,3.61,0
W0405,WO-00405,EQ-0009,2025-07-02,Planned,702.24,3.41,0
W0406,WO-00406,EQ-0052,2025-08-14,Planned,183.53,3.15,0
W0407,WO-00407,EQ-0170,2025-05-16,Planned,731.87,0.72,0
W0408,WO-00408,EQ-0035,2025-04-19,Corrective,1452.99,19.95,1
W0409,WO-00409,EQ-0150,2025-02-15,Planned,398.16,2.86,0
W0410,WO-00410,EQ-0077,2025-06-09,Planned,630.97,1.82,0
W0411,WO-00411,EQ-0033,2025-06-18,Planned,249.35,3.77,0
W0412,WO-00412,EQ-0127,2025-10-13,Planned,660.80,3.55,0
W0413,WO-00413,EQ-0111,2025-11-07,Planned,428.28,2.59,0
W0414,WO-00414,EQ-0120,2025-07-18,Planned,523.79,2.21,0
W0415,WO-00415,EQ-0020,2025-03-11,Corrective,2621.54,20.57,1
W0416,WO-00416,EQ-0087,2025-06-29,Planned,495.84,1.69,0
W0417,WO-00417,EQ-0005,2025-10-19,Planned,344.12,1.27,0
W0418,WO-00418,EQ-0079,2025-05-25,Planned,530.30,0.66,0
W0419,WO-00419,EQ-0039,2025-03-06,Corrective,1449.39,11.23,1
W0420,WO-00420,EQ-0078,2025-04-24,Planned,744.55,2.00,0
W0421,WO-00421,EQ-0077,2025-08-26,Planned,664.38,1.96,0
W0422,WO-00422,EQ-0023,2025-02-27,Planned,128.52,0.69,0
W0423,WO-00423,EQ-0001,2025-10-06,Planned,450.64,1.37,0
W0424,WO-00424,EQ-0120,2025-08-20,Planned,652.15,2.03,0
W0425,WO-00425,EQ-0037,2025-01-14,Planned,469.69,2.97,0
W0426,WO-00426,EQ-0105,2025-11-24,Planned,446.19,3.98,0
W0427,WO-00427,EQ-0096,2025-03-31,Corrective,1192.05,18.68,1
W0428,WO-00428,EQ-0112,2025-05-08,Planned,163.33,2.85,0
W0429,WO-00429,EQ-0111,2025-12-27,Planned,223.83,0.75,0
W0430,WO-00430,EQ-0124,2025-12-03,Corrective,1898.34,7.97,1
W0431,WO-00431,EQ-0141,2025-03-09,Planned,312.27,1.68,0
W0432,WO-00432,EQ-0105,2025-06-18,Planned,449.51,3.06,0
W0433,WO-00433,EQ-0027,2025-02-17,Corrective,764.80,11.63,1
W0434,WO-00434,EQ-0161,2025-10-13,Corrective,2493.74,10.67,1
W0435,WO-00435,EQ-0110,2025-12-03,Corrective,2647.89,9.08,1
W0436,WO-00436,EQ-0138,2025-02-28,Planned,293.38,0.95,0
W0437,WO-00437,EQ-0105,2025-07-12,Corrective,725.78,14.61,1
W0438,WO-00438,EQ-0099,2025-12-29,Planned,519.57,0.50,0
W0439,WO-00439,EQ-0167,2025-01-31,Corrective,1887.08,22.24,1
W0440,WO-00440,EQ-0106,2025-04-04,Planned,377.43,2.34,0
W0441,WO-00441,EQ-0028,2025-08-06,Corrective,3057.49,20.22,1
W0442,WO-00442,EQ-0070,2025-09-20,Planned,713.72,0.54,0
W0443,WO-00443,EQ-0043,2025-04-20,Corrective,1227.92,10.13,1
W0444,WO-00444,EQ-0117,2025-06-29,Corrective,2383.30,19.62,1
W0445,WO-00445,EQ-0004,2025-02-05,Planned,457.10,1.84,0
W0446,WO-00446,EQ-0017,2025-12-24,Corrective,2119.52,3.28,1
W0447,WO-00447,EQ-0113,2025-11-19,Planned,547.07,1.55,0
W0448,WO-00448,EQ-0084,2025-08-13,Corrective,1115.86,11.16,1
W0449,WO-00449,EQ-0046,2025-05-15,Corrective,1229.56,5.47,1
W0450,WO-00450,EQ-0180,2025-10-01,Planned,550.53,1.81,0
W0451,WO-00451,EQ-0076,2025-04-20,Planned,680.40,3.93,0
W0452,WO-00452,EQ-0111,2025-04-17,Planned,700.95,1.50,0
W0453,WO-00453,EQ-0118,2025-10-19,Planned,680.06,3.49,0
W0454,WO-00454,EQ-0100,2025-05-11,Planned,670.46,1.53,0
W0455,WO-00455,EQ-0051,2025-08-29,Corrective,1672.45,2.58,1
W0456,WO-00456,EQ-0096,2025-03-08,Planned,625.08,0.78,0
W0457,WO-00457,EQ-0029,2025-12-09,Planned,285.09,3.53,0
W0458,WO-00458,EQ-0082,2025-09-27,Corrective,1918.47,17.62,1
W0459,WO-00459,EQ-0060,2025-05-18,Planned,282.68,1.30,0
W0460,WO-00460,EQ-0017,2025-04-03,Planned,195.18,2.23,0
W0461,WO-00461,EQ-0064,2025-12-24,Corrective,1553.08,23.92,1
W0462,WO-00462,EQ-0034,2025-05-04,Planned,432.64,1.36,0
W0463,WO-00463,EQ-0001,2025-10-11,Planned,179.75,0.87,0
W0464,WO-00464,EQ-0069,2025-12-04,Planned,592.56,0.67,0
W0465,WO-00465,EQ-0077,2025-02-01,Planned,289.97,0.70,0
W0466,WO-00466,EQ-0072,2025-12-29,Planned,336.21,1.97,0
W0467,WO-00467,EQ-0094,2025-12-14,Planned,727.10,2.20,0
W0468,WO-00468,EQ-0071,2025-09-16,Planned,685.76,3.90,0
W0469,WO-00469,EQ-0024,2025-05-24,Planned,124.74,3.45,0
W0470,WO-00470,EQ-0114,2025-09-29,Corrective,2977.95,23.00,1
W0471,WO-00471,EQ-0074,2025-07-27,Planned,694.31,2.99,0
W0472,WO-00472,EQ-0117,2025-05-05,Planned,239.59,0.98,0
W0473,WO-00473,EQ-0109,2025-04-27,Planned,445.97,0.99,0
W0474,WO-00474,EQ-0110,2025-08-23,Corrective,1081.91,17.74,1
W0475,WO-00475,EQ-0053,2025-07-18,Planned,621.85,0.83,0
W0476,WO-00476,EQ-0103,2025-08-03,Corrective,3155.65,5.69,1
W0477,WO-00477,EQ-0108,2025-11-07,Planned,712.06,3.64,0
W0478,WO-00478,EQ-0008,2025-02-03,Planned,635.25,1.04,0
W0479,WO-00479,EQ-0157,2025-08-25,Planned,586.74,3.46,0
W0480,WO-00480,EQ-0086,2025-06-05,Corrective,2353.16,17.55,1
W0481,WO-00481,EQ-0120,2025-10-23,Planned,573.59,2.80,0
W0482,WO-00482,EQ-0066,2025-02-25,Planned,516.37,3.19,0
W0483,WO-00483,EQ-0115,2025-09-20,Planned,105.14,1.10,0
W0484,WO-00484,EQ-0096,2025-03-04,Planned,228.01,2.26,0
W0485,WO-00485,EQ-0104,2025-11-30,Planned,630.44,3.02,0
W0486,WO-00486,EQ-0145,2025-01-24,Planned,199.61,1.23,0
W0487,WO-00487,EQ-0017,2025-07-04,Corrective,3064.11,16.10,1
W0488,WO-00488,EQ-0075,2025-04-10,Planned,643.23,3.56,0
W0489,WO-00489,EQ-0095,2025-07-15,Corrective,1402.49,6.50,1
W0490,WO-00490,EQ-0127,2025-04-04,Corrective,2187.76,18.02,1
W0491,WO-00491,EQ-0006,2025-07-12,Corrective,925.95,9.90,1
W0492,WO-00492,EQ-0144,2025-02-03,Planned,630.74,1.59,0
W0493,WO-00493,EQ-0143,2025-06-27,Planned,593.55,1.39,0
W0494,WO-00494,EQ-0092,2025-07-05,Planned,674.82,1.78,0
W0495,WO-00495,EQ-0045,2025-01-24,Planned,354.86,1.44,0
W0496,WO-00496,EQ-0124,2025-11-22,Corrective,1690.39,7.99,1
W0497,WO-00497,EQ-0071,2025-07-23,Corrective,1577.67,9.08,1
W0498,WO-00498,EQ-0110,2025-01-13,Corrective,1846.11,2.39,1
W0499,WO-00499,EQ-0164,2025-01-31,Corrective,1624.58,13.89,1
W0500,WO-00500,EQ-0167,2025-03-14,Planned,307.34,3.07,0
W0501,WO-00501,EQ-0072,2025-06-15,Planned,155.13,3.38,0
W0502,WO-00502,EQ-0169,2025-09-22,Corrective,963.86,10.71,1
W0503,WO-00503,EQ-0083,2025-04-11,Corrective,2548.28,6.03,1
W0504,WO-00504,EQ-0080,2025-01-25,Corrective,636.57,23.17,1
W0505,WO-00505,EQ-0170,2025-01-24,Planned,457.71,0.69,0
W0506,WO-00506,EQ-0037,2025-04-28,Corrective,1784.80,15.33,1
W0507,WO-00507,EQ-0004,2025-10-10,Planned,515.05,2.76,0
W0508,WO-00508,EQ-0049,2025-07-09,Planned,706.81,2.11,0
W0509,WO-00509,EQ-0115,2025-08-18,Planned,604.79,2.48,0
W0510,WO-00510,EQ-0038,2025-12-08,Planned,123.46,3.30,0
W0511,WO-00511,EQ-0146,2025-08-24,Planned,470.93,2.41,0
W0512,WO-00512,EQ-0138,2025-01-19,Corrective,923.56,10.97,1
W0513,WO-00513,EQ-0140,2025-11-21,Corrective,2887.89,13.63,1
W0514,WO-00514,EQ-0177,2025-09-01,Planned,456.55,3.99,0
W0515,WO-00515,EQ-0165,2025-03-13,Corrective,2270.90,20.30,1
W0516,WO-00516,EQ-0032,2025-04-27,Planned,603.66,0.88,0
W0517,WO-00517,EQ-0085,2025-01-17,Planned,197.50,4.00,0
W0518,WO-00518,EQ-0029,2025-06-26,Corrective,2944.15,14.11,1
W0519,WO-00519,EQ-0096,2025-03-10,Corrective,3435.78,14.68,1
W0520,WO-00520,EQ-0156,2025-04-24,Planned,445.38,2.08,0
W0521,WO-00521,EQ-0092,2025-03-05,Planned,316.06,0.53,0
W0522,WO-00522,EQ-0058,2025-11-04,Planned,309.17,2.00,0
W0523,WO-00523,EQ-0109,2025-04-25,Corrective,2875.21,17.65,1
W0524,WO-00524,EQ-0020,2025-05-26,Corrective,1606.84,21.37,1
W0525,WO-00525,EQ-0030,2025-12-27,Planned,642.21,2.80,0
W0526,WO-00526,EQ-0038,2025-01-11,Planned,589.02,1.84,0
W0527,WO-00527,EQ-0142,2025-12-28,Corrective,3279.24,6.13,1
W0528,WO-00528,EQ-0074,2025-01-28,Corrective,1117.41,19.80,1
W0529,WO-00529,EQ-0034,2025-11-03,Corrective,1711.82,5.93,1
W0530,WO-00530,EQ-0028,2025-07-19,Planned,481.78,0.71,0
W0531,WO-00531,EQ-0064,2025-06-26,Planned,735.17,3.43,0
W0532,WO-00532,EQ-0028,2025-11-07,Planned,221.48,3.33,0
W0533,WO-00533,EQ-0064,2025-12-12,Planned,243.77,2.94,0
W0534,WO-00534,EQ-0130,2025-05-31,Planned,567.95,1.41,0
W0535,WO-00535,EQ-0031,2025-06-30,Corrective,3067.34,9.45,1
W0536,WO-00536,EQ-0069,2025-05-04,Planned,679.30,3.18,0
W0537,WO-00537,EQ-0034,2025-02-06,Planned,549.33,3.56,0
W0538,WO-00538,EQ-0014,2025-07-25,Planned,498.83,3.06,0
W0539,WO-00539,EQ-0164,2025-07-08,Corrective,2983.40,15.75,1
W0540,WO-00540,EQ-0096,2025-01-15,Planned,580.51,1.64,0
W0541,WO-00541,EQ-0026,2025-07-16,Planned,338.55,0.99,0
W0542,WO-00542,EQ-0028,2025-04-23,Planned,383.84,2.43,0
W0543,WO-00543,EQ-0002,2025-09-22,Planned,382.74,3.24,0
W0544,WO-00544,EQ-0007,2025-07-25,Corrective,3060.19,13.98,1
W0545,WO-00545,EQ-0009,2025-10-23,Planned,326.68,1.56,0
W0546,WO-00546,EQ-0027,2025-03-12,Planned,613.26,3.49,0
W0547,WO-00547,EQ-0100,2025-08-11,Planned,699.92,0.75,0
W0548,WO-00548,EQ-0134,2025-12-06,Corrective,3221.88,7.69,1
W0549,WO-00549,EQ-0015,2025-02-26,Planned,563.40,2.89,0
W0550,WO-00550,EQ-0166,2025-08-18,Planned,191.62,1.60,0
W0551,WO-00551,EQ-0077,2025-01-13,Corrective,2672.22,15.57,1
W0552,WO-00552,EQ-0159,2025-05-26,Planned,231.38,1.00,0
W0553,WO-00553,EQ-0037,2025-03-28,Corrective,933.56,20.89,1
W0554,WO-00554,EQ-0074,2025-04-18,Planned,619.48,1.90,0
W0555,WO-00555,EQ-0042,2025-01-28,Planned,517.85,2.74,0
W0556,WO-00556,EQ-0072,2025-06-06,Planned,572.41,1.29,0
W0557,WO-00557,EQ-0026,2025-03-26,Planned,683.27,1.44,0
W0558,WO-00558,EQ-0081,2025-03-18,Planned,248.65,0.75,0
W0559,WO-00559,EQ-0155,2025-04-10,Corrective,1345.46,9.86,1
W0560,WO-00560,EQ-0051,2025-11-15,Planned,468.05,3.24,0
W0561,WO-00561,EQ-0052,2025-03-27,Planned,506.95,3.39,0
W0562,WO-00562,EQ-0026,2025-11-20,Planned,493.79,3.64,0
W0563,WO-00563,EQ-0100,2025-12-22,Planned,689.38,3.95,0
W0564,WO-00564,EQ-0166,2025-05-24,Planned,476.23,1.03,0
W0565,WO-00565,EQ-0053,2025-04-12,Planned,459.62,3.51,0
W0566,WO-00566,EQ-0020,2025-01-09,Planned,441.20,2.87,0
W0567,WO-00567,EQ-0062,2025-07-16,Corrective,1567.04,17.47,1
W0568,WO-00568,EQ-0160,2025-06-16,Planned,665.12,3.18,0
W0569,WO-00569,EQ-0118,2025-09-11,Planned,181.32,2.75,0
W0570,WO-00570,EQ-0019,2025-11-08,Planned,218.80,3.91,0
W0571,WO-00571,EQ-0168,2025-07-29,Corrective,2431.29,23.62,1
W0572,WO-00572,EQ-0093,2025-02-13,Planned,222.00,2.73,0
W0573,WO-00573,EQ-0011,2025-06-02,Planned,452.21,0.90,0
W0574,WO-00574,EQ-0038,2025-02-25,Corrective,2983.72,9.27,1
W0575,WO-00575,EQ-0084,2025-11-03,Corrective,957.87,23.44,1
W0576,WO-00576,EQ-0091,2025-12-11,Planned,555.35,3.30,0
W0577,WO-00577,EQ-0032,2025-07-11,Planned,547.49,0.52,0
W0578,WO-00578,EQ-0055,2025-08-24,Planned,350.28,3.25,0
W0579,WO-00579,EQ-0049,2025-12-18,Planned,593.19,3.52,0
W0580,WO-00580,EQ-0110,2025-06-16,Planned,340.67,1.41,0
W0581,WO-00581,EQ-0156,2025-02-06,Planned,378.25,1.24,0
W0582,WO-00582,EQ-0169,2025-02-08,Planned,300.18,0.58,0
W0583,WO-00583,EQ-0087,2025-04-09,Planned,271.21,3.49,0
W0584,WO-00584,EQ-0102,2025-05-28,Corrective,2396.72,17.98,1
W0585,WO-00585,EQ-0007,2025-10-21,Corrective,1303.94,7.00,1
W0586,WO-00586,EQ-0055,2025-07-30,Corrective,700.73,5.92,1
W0587,WO-00587,EQ-0121,2025-01-11,Planned,512.97,2.82,0
W0588,WO-00588,EQ-0111,2025-09-04,Corrective,1098.16,2.16,1
W0589,WO-00589,EQ-0173,2025-06-08,Planned,585.30,0.71,0
W0590,WO-00590,EQ-0136,2025-02-10,Planned,129.24,3.30,0
W0591,WO-00591,EQ-0140,2025-02-06,Planned,717.43,3.48,0
W0592,WO-00592,EQ-0070,2025-09-27,Planned,420.04,1.15,0
W0593,WO-00593,EQ-0014,2025-07-16,Planned,553.66,2.01,0
W0594,WO-00594,EQ-0161,2025-04-14,Planned,163.62,1.32,0
W0595,WO-00595,EQ-0083,2025-02-07,Planned,601.10,2.51,0
W0596,WO-00596,EQ-0131,2025-05-19,Corrective,3237.37,3.31,1
W0597,WO-00597,EQ-0106,2025-09-27,Planned,409.38,3.94,0
W0598,WO-00598,EQ-0143,2025-05-03,Corrective,657.47,22.24,1
W0599,WO-00599,EQ-0066,2025-07-17,Corrective,921.97,20.35,1
W0600,WO-00600,EQ-0109,2025-06-14,Planned,614.79,1.78,0
W0601,WO-00601,EQ-0154,2025-05-28,Planned,-900.00,2.81,0
W0602,WO-00602,EQ-0125,2025-02-30,Planned,203.66,1.74,0
W0603,WO-00603,EQ-9999,2025-10-23,Planned,467.22,1.06,0
W0604,WO-00604,EQ-0120,2025-07-25,Planned,556.74,0.93,2
